UbicacionID,UbicacionMipsID,EmpresaID,Ubicacion,TipoUbicacion,NombreUbicacion,Latitud,Longitud,Localidad,ProvinciaID,PaisID,ParadaAutorizada
33700,19,9,PERIFERICO ,Cliente,AMSA/ LEVIC/ MORELIA MICH.,19.7268,-101.2069,LEON GUZMAN MORELIA,-2,4,Si
33701,20,9,Sauces,Cliente,AVANTE/ KAMAFIL MAYALENT/ LERMA,19.299,-99.5295,Lerma de Villada,-2,4,Si
33702,21,9,GONZALEZ GALLO,Cliente,AMSA/ DIMESA/ TLAQUEPAQUE,20.5833,-103.3878,TLAQUEPAQUE,-2,4,Si
33703,22,9,REFORMA ,Cliente,AMSA/ CEDIS TEXCOCO/ EDOMEX,19.5374,-98.8335,TEXCOCO DE MORA,-2,4,Si
33704,23,9,JUAN DE LA BARRERA,Cliente,AMSA/ PLANTA/ GUADALAJARA,20.6192,-103.3385,LAS JUNTAS GUADALAJARA,-2,4,Si
33705,24,9,PROLONGACION SAN LORENZO,Cliente,MADRILEÑA/ PLANTA MEXICO/ CDMX,19.7048,-99.2033,CUAUTITLAN IZCALLI,-2,4,Si
33706,25,9,GUADAALAJARA - EL SALTO,Cliente,MADRILEÑA/ PLANTA GUADALAJARA/ JAL.,20.5622,-103.2859,GUADALAJARA,-2,4,Si
33707,26,9,TEJOCOTES,Cliente,MADRILEÑA/ CEDIS SAMS CLUB SMO/ EDOMEX,19.6042,-99.2148,Cuautitlan,-2,4,Si
33708,27,9,Providencia ,Cliente,MADRILEÑA/ LA CAVA DE JAMES/ VERACRUZ,20.5463,-97.4754,Poza Rica,-2,4,Si
33709,28,9,DE LA INDUSTRIA FARMACEUTICA ,Cliente,MADRILEÑA/ OXXO/ TOLUCA EDOMEX,19.2906,-99.542,Toluca,-2,4,Si
33710,29,9,Felipe Páramo,Cliente,FERRERO/ EL DUERO/ MORELIA,19.7136,-101.166,Morelia,-2,4,Si
33711,30,9,RIO SANTIAGO ,Cliente,MADRILEÑA/ PQUE MADRILEÑA/ TOTOTLAN JAL.,20.5512,-102.8095,TOTOTLAN,-2,4,Si
33712,31,9,Federal México-Cuautla,Cliente,PINSA/ WALMART CEDIS CHALCO/ EDOMEX,19.2499,-98.8704,Chalco de Díaz Covarrubias,-2,4,Si
33713,32,9,BASILIO BADILLO,Cliente,MADRILEÑA/ VINOS AMERICA/ PUERTO VALLARTA,20.6023,-105.2351,PUERTO VALLARTA,-2,4,Si
33714,33,9,Cuautitlán - Teoloyucan,Cliente,MADRILEÑA/ CEDIS WALMART SANTA BARBARA,19.7177,-99.1925,Cuautitlán Izcalli,-2,4,Si
33715,34,9,RUIZ CORTNES,Cliente,SAN MARCOS/ NUTRAS/ IGUALA GRO.,18.3363,-99.5329,IGUALA DE LA INDEPENDENCIA ,-2,4,Si
33716,35,9,SALINAS VICTORIA,Cliente,MADRILEÑA/ CEDIS SORIANA MONTERREY/ NL,25.8986,-100.2589,MONTERREY,-2,4,Si
33717,36,9,MEXICO- TOLUCA,Cliente,GALDISA/ NESTLE MEXICO/ TOLUCA,19.2889,-99.6191,LERMA,-2,4,Si
33718,37,9,Carr. Federal Veracruz-Minatit,Cliente,FERRERO/ CEDIS DECASA/ VERACRUZ,19.1684,-96.2674,Poza Rica de Hidalgo,-2,4,Si
33719,38,9,TLALNEPANTLA - CUAUTITLAN,Cliente,BDF / SORIANA / TULTITLÁN,19.6293,-99.1829,CUAUTITLAN IZCALLI,-2,4,Si
33720,39,9, Villahermosa -Macuspana & Méx,Cliente,PISA/ CHEDRAUI CEDIS/ VILLAHERMOSA,17.9707,-92.8113,Carretera Federal 186,-2,4,Si
33721,40,9,Autopista Veracruz-Cardel ,Cliente,VELOCI/ CHEDRAUI CEDIS/ VERACRUZ,19.2295,-96.2332,Hacienda Santa Fé,-2,4,Si
33722,41,9,Calzada Vallejo,Cliente,MADRILEÑA/ CITY FRESKO VALLEJO/ CDMX,19.4947,-99.1548,Ciudad de México,-2,4,Si
33723,42,9,Autopista Chamapa Lecheria,Cliente,PISA/ OXXO CEDIS/ SAN MARTIN OBISPO,19.6099,-99.207,Cuautitlán Izcalli,-2,4,Si
33724,43,9,METALURGICA,Cliente,MADRILEÑA/ WALMART SATELITE/ EDO MEX,19.5155,-99.2309,NAUCALPAN ,-2,4,Si
33725,44,9,HERIBERTO FRIAS,Cliente,MADRILEÑA/ MEGA PILARES/ CDMX,19.3763,-99.1632,COLONIA DEL VALLE,-2,4,Si
33726,45,9,Cuautitlan - Zumpango,Cliente,PINSA/ CHEDRAUI CEDIS/ ZUMPANGO,19.746,-99.1301,Tealoyucan,-2,4,Si
33727,46,9,RIO CHURUBUSCO,Cliente,"SUPER DESPENSA EMPRESARIAL, IZTAPALAPA",0,0,IZTAPALAPA,-2,4,Si
33728,47,9,Tuzantlapa,Cliente,MADRILEÑA/ CEDIS 3B LOS REYES LA PAZ/ EDOMEX,19.3512,-98.9791,La Paz,-2,4,Si
33729,48,9,Insurgentes Sur,Cliente,MADRILEÑA/ OFICINAS INSURGENTES/ CDMX,19.3694,-99.1807,Ciudad de México,-2,4,Si
33730,49,9,MELCHOR OCAMPO,Cliente,MADRILEÑA/ DECASA CORTAZAR/ GUANAJUATO,20.5,-100.9574,Cortazar,-2,4,Si
33731,50,9,Gral. José Morán,Cliente,Mr. Volk,0,0,CDMX,-2,4,No
33732,51,9,Carr. Cancún - Tulum,Cliente,MADRILEÑA/ EL DUERO/ CANCUN,20.9844,-86.8685,Puerto Morelos,-2,4,Si
33733,52,9,PARQUE INDURSTRIAL,Cliente,MADRILEÑA/ RIVERA MAYOREO/ PUEBLA,19.095,-98.1895,PUEBLA,-2,4,Si
33734,53,9,MEXICO QUERETARO,Cliente,PINSA/ COSTCO CEDIS/ TEPEJI,19.8566,-99.283,TEPEJI DE OCAMPO,-2,4,Si
33735,54,9,GUSTAVO BAZ,Cliente,MADRILEÑA/ CEDIS 3B BARRIENTOS/ EDOMEX,19.5655,-99.2021,"Tlalnepantla de Baz, Méx",-2,4,Si
33736,55,9,IGNACIO LOPEZ RAYON,Cliente,AMSA/ FARCOMER/ ECATEPEC,19.5275,-99.0298,JARDINES DE ARAGON,-2,4,Si
33737,56,9,PASE D ELOS ADOBES,Cliente,AMSA/ INDUFARMA/ ZAPOPAN,20.7318,-103.4983,ZAPOPAN,-2,4,Si
33738,57,9,DE LA BARRANCA ,Cliente,AMSA/ LABORATORIOS PISA/ CUAUTITLAN IZCALLI,19.5956,-99.2106,CUAUTITLAN IZCALLI,-2,4,Si
33739,58,9,ANDADOR EL REY,Cliente,AMSA/ LEVIC TIJUANA/ BAJA CALIFORNIA,32.4934,-116.8946,TIJUANA,-2,4,Si
33740,59,9,AREQUIPA,Cliente,AMSA/ REDER/ CDMX/BAJA,19.4866,-99.1259,CDMX,-2,4,Si
33741,60,9,HUAQUILA 1,Cliente,Similares Cedis 925 Coalla,0,0,Iztapalapa,-2,4,No
33742,61,9,Río Pánuco,Cliente,AVANTE/ MARCO VALLARTE/ PUEBLA,19.0801,-98.2773,Santiago Momoxpan,-2,4,Si
33743,62,9,JUAN DE LA BARRERA,Cliente,AMSA/ DIMESA/ GUADALAJARA,20.6179,-103.3392,GUADALAJARA,-2,4,Si
33744,63,9,CD VICTORIA - SOTO LA MARINA,Cliente,AMSA/ HISA FARMACEUTICA/ TAMAULIPAS,23.7168,-99.0908,Ciudad Victoria,-2,4,Si
33745,64,9,CARR FED TEHUACAN-PUEBLA,Cliente,AMSA/ SIMILARES CEDIS 907/ PUEBLA,19.0761,-98.1611,BOSQUES DE SAN SEBASTIAN PUEBLA,-2,4,Si
33746,65,9,"25.70693,-100.48978",Cliente,Similares Cedis 904 Monterrey,0,0,Monterrey,-2,4,No
33747,66,9,Indeco,Cliente,AVANTE/ MULTIUNIFORMES/ TLAXCALA,19.1344,-98.1493,San Pablo del Monte,-2,4,Si
33748,67,9,FLORES MAGON,Cliente,AMSA/ FARMACIAS GI/ TLALNEPANTLA,19.5187,-99.1055,TALALNEPANTLA DE BAZ,-2,4,Si
33749,68,9,AV AGUASCALIENTES,Cliente,AMSA/ DISAGS/ AGUASCALIENTES,21.9148,-102.2805,AGUASCALIENTES,-2,4,Si
33750,69,9,CARRETERA MERIDA-HUMAN,Cliente,AMSA/ LEVIC/ MERIDA,20.9125,-89.7112,ITZINCAB HUMAN,-2,4,Si
33751,70,9,CIRCUITO QUAZAR,Cliente,AMSA/ FARMACON/ CULIACAN,24.7975,-107.4101,CULIACAN,-2,4,Si
33752,71,9,REFORMA OLIVO,Cliente,AMSA/ DIMESA/ TULTITLAN,19.6224,-99.1772,TULTITLAN ÁREA METROPOLITANA,-2,4,Si
33753,72,9,MIGUEL HIDALGO Y COSTILLA,Cliente,AMSA/ PAZ URIAS LETICIA/ BAJA CALIFORNIA,32.4694,-114.7487,SAN LUIS RIO COLORADO,-2,4,Si
33754,73,9,BELEN,Cliente,AMSA/ PROVEERORA FARMACEUTICA CRUZ/ JALISCO,20.6917,-103.346,GUADALAJARA,-2,4,Si
33755,74,9,CIRCUITO DE LA INDUSTRIA NORTE,Cliente,AMSA/ DISTRIBUIDORA DISUR/ LERMA EDO DE MEX,19.3019,-99.5325,LERMA,-2,4,Si
33756,75,9,DE LOS INDUSTRIALES,Cliente,AMSA/ ALMACÉN DE DROGAS/ LEÓN,21.1031,-101.6346,LEON,-2,4,Si
33757,76,9,50 POR 49 Y 51,Cliente,AMSA/ DEKA FARMA/ MERIDA,20.9722,-89.6151,MERIDA,-2,4,Si
33758,77,9,F,Cliente,AMSA/ FARMACÉUTICA DELTA/ PUEBLA,19.0652,-98.1818,PUEBLA DE ZARAGOZA,-2,4,Si
33759,78,9,NACIONAL,Cliente,AMSA/ AGR OUTSOURCING/ IZTAPALAPA,19.3879,-99.0521,IZTAPALAPA,-2,4,Si
33760,79,9,AVIACION,Cliente,AMSA/ CASA MARZAM/ GUADALAJARA,20.7067,-103.4588,ZAPOPAN,-2,4,Si
33761,80,9,FRANCISCO SARABIA,Cliente,AMSA/ RODRIGUEZ RODRIGUEZ ALBERTO/ XALAPA,19.5372,-96.9164,XALAPA-ENRIQUEZ,-2,4,Si
33762,81,9,CARR. PICACHO-AJUSCO,Cliente,AMSA/ FARMA APLICADA/ TLALPAN,19.2873,-99.2185,TLALPAN,-2,4,Si
33763,82,9,AVENIDA DEL COLI,Cliente,AMSA/ FARMACEUTICOS DE OCCIDENTE/ JALISCO,20.6447,-103.4201,ZAPOPAN,-2,4,Si
33764,83,9,MIER Y PESADO,Cliente,AMSA/ MEDICAMENTOS DE MORELOS/ G.A.M,19.4779,-99.1116,GUSTAVO A MADERO,-2,4,Si
33765,84,9,GASODUCTO PEMEX,Cliente,ENLACE Y DISTRIBUCIÓN FARMACEUTICA,0,0,CUERNAVACA,-2,4,No
33766,85,9,DOCTOR JORGE JIMENEZ CANTU,Cliente,AMSA/ RAMA FARMACEUTICA/ CUAUTITLÁN,19.6908,-99.2123,CUAUTITLAN IZCALLI,-2,4,Si
33767,86,9,DE CANAL,Cliente,AMSA/ LEVIC/ PUEBLA,19.1124,-98.1815,SAN FELIPE HUEYOTLIPAN,-2,4,Si
33768,87,9,Químicos ,Cliente,AVANTE/ POLIGAL/ ECATEPEC,19.5127,-99.0794,Ecatepec de Morelos,-2,4,Si
33769,88,9,Sostenes Rocha,Cliente,Cedis Farmacias Sas Francisco De Aisi,0,0,Irapuato,-2,4,No
33770,89,9,AV CRFISTOBAL COLON,Cliente,AMSA/ DIMISE/ GUADALAJARA,20.6594,-103.3586,MODERNA GUADALAJARA,-2,4,Si
33771,90,9,Libramiento Norte León -Qro.,Cliente,"Exfarma, S.A DE C.V.",0,0,irapuato,-2,4,No
33772,91,9,Municipio Libre,Cliente,"Pharma Club, S.A. DE C.V.",0,0,CDMX,-2,4,No
33773,92,9,37,Cliente,AMSA/ QUIMICOS Y FARMACOS/ MERIDA,20.9817,-89.6192,MERIDA,-2,4,Si
33774,93,9,13,Cliente,Surtidora Medica Del Carmen,19.0384,-98.2135,"Heroica Puebla de Zaragoza,",-2,4,No
33775,94,9,Manuel María Contreras,Cliente,"Darier, S.A. DE C.V.",0,0,CDMX,-2,4,No
33776,95,9,PLOMO,Cliente,AMSA/ CASA MARZAM/ VILLAHERMOSA,18.0315,-92.909,VILLAHERMOSA.,-2,4,Si
33777,96,9,Lazaro de Baigorri,Cliente,"Farmacia Paseo Bolivar, SA DE CV",28.6488,-106.0927,Chihuahua,-2,4,No
33778,97,9,Cerro de las Mitras,Cliente,"Hisa Farmaceuticas, S.A. DE C.V.",0,0,"Cd Victoria,",-2,4,No
33779,98,9,Vicente Guerrero,Cliente,Distribuidora Farmaceutica Calderon,0,0,"Tepic,",-2,4,No
33780,99,9,20 DE NOVIEMBRE,Cliente,AMSA/ REDER/ TOLUCA,19.2826,-99.5596,SAN MATEO ATENCO,-2,4,Si
33781,100,9,Cda. Sin Nombre ,Cliente,"Farma Sana Sana, S.A. DE C.V.",19.6189,-99.0048,Ecatepec de Morelos,-2,4,No
33782,101,9,Aguascalientes Nte,Cliente,Cornejo Garcia María De Lourdes,21.9147,-102.2783,Aguascalientes,-2,4,No
33783,102,9,Lago Trasimeno,Cliente,"Farmacia De Genericos, S.A. DE C.V.",0,0,Miguel Hidalgo,-2,4,No
33784,103,9,EMILIO CARRANZA,Cliente,AMSA/ OXIGENO MEDICINAL Y ACCESORIOS/ MICH,19.4225,-102.0686,URUAPAN,-2,4,Si
33785,104,9,Sur Ote,Cliente,Dipromed De Ocozocoautla,0,0,Ocozocoautla de Espinosa,-2,4,No
33786,105,9,7 Oriente ,Cliente,"Exafarma, S.A. DE C.V. Puebla I",0,0,Heroica Puebla de Zaragoza,-2,4,No
33787,106,9,Aquiles Serdán,Cliente,"Cento de Distribución, Puebla",0,0,Heroica Puebla de Zaragoza,-2,4,No
33788,107,9,Jimenez Oriente,Cliente,Diaz Comercializadora Farmaceutica Guadalupe ,25.6764,-100.2559,Guadalupe,-2,4,No
33789,108,9,16 Sur ,Cliente,Distribuidora de Sueros y Equipos,0,0,Heroica Puebla de Zaragoza,-2,4,No
33790,109,9,Miguel Hidalgo Poniente,Cliente,"Farmacos F.R., S.A. DE C.V.",0,0,Zitácuaro,-2,4,No
33791,110,9,División del Norte,Cliente,"Dicofasa, S. DE R.L. DE C.V.",0,0,Morelia,-2,4,No
33792,111,9,Cuitláhuac,Cliente,Monserrat Vidal Hhernandez,0,0,Cuautlapan,-2,4,No
33793,112,9,CANAL DE TEZONTLE,Cliente,AMSA/ VICMA/ CDMX,19.384,-99.0917,CDMX,-2,4,Si
33794,113,9,PRESA DEL SORDO,Cliente,ILUMEXICO/ PLANTA IND/ ACAQUILPAN,19.3597,-98.9848,ACAQUILPAN,-2,4,Si
33795,114,9,50,Cliente,PISA/ DEKAFARMA/ MERIDA,20.9726,-89.615,Mérida,-2,4,Si
33796,115,9,Juan M. Zambada ,Cliente,PINSA/ DICONSA/ CULIACAN,24.7879,-107.4351,Culiacán Rosales,-2,4,Si
33797,116,9,ASLFONZO MARTINEZ,Cliente,ILUMEXICO/ CLIENTE ARAMBERRI/ N.L.,24.1083,-99.829,ARAMBERRI,-2,4,Si
33798,117,9,CARRETERA 5 CHIHUAHUA,Cliente,ILAS / PLANTA IND / CHIHUAHUA,28.7639,-106.9652,CUAUHTÉMOC,-2,4,Si
33799,118,9,ACCESO ,Cliente,ILAS / LICONSA/ QUERETARO,20.6347,-100.4342,SANTIAGO QRO,-2,4,Si
33800,119,9,GONZALO DURAN,Cliente,ILAS / NESTLE/ ORDUÑA,19.4163,-99.1468,COATEPEC ,-2,4,Si
33801,120,9,LICONSA TOLUCA ,Cliente,ILAS / LICONSA/ TOLUCA,19.1748,99.5803,CONCEPCION COATIPAC,-2,4,Si
33802,121,9,Xalapa - Veracruz,Cliente,Nestle Veracruz,0,0,Xalapa,-2,4,No
33803,122,9,JACRANDAS,Cliente,ILAS / PLANTA DE LECHE MIYM/ PUEBLA,19.207,-98.4083,PUEBLA DE ZARAGOZA,-2,4,Si
33804,123,9,TORREON - CHIHUAHUA,Cliente,ILAS / COSALAMEX/ GOMEZ PALACIO,25.6752,-103.5486,GOMEZ PALACIO,-2,4,Si
33805,124,9,SAN GREGORIO ,Cliente,ILAS / NESTLE/ LAGOS DE MORENO,21.3686,-101.9228,LAGOS DE MORENO,-2,4,Si
33806,125,9,CAMINO A TEPALCAPA,Cliente,ILAS / UNILEVER/ TULTITLAN,19.6243,-99.1891,TULTITLAN,-2,4,Si
33807,126,9,AERONAUTICA,Cliente,ILAS MERCADO DE ABASTOS/ CD. JUAREZ,31.6184,-106.439,CIUDAD JUAREZ,-2,4,Si
33808,127,9,Camino Real 102,Patio de Línea de Transporte,Patio de Línea de Transporte--Patios ATR Cd. Juarez,0,0,Cd Juarez,-2,4,No
33809,128,9,RIO BRAVO,Cliente,ILAS / WATERFILL RIO BRAVO/ CD. JUAREZ,31.6689,-106.3573,RIO BRAVO CD JUAREZ ,-2,4,Si
33810,129,9,TOLUCA-ATLACOMULCO,Cliente,ILAS / BARRY CALLEBAUT/ TOLUCA,19.4172,-99.714,ATLACOMULCO,-2,4,Si
33811,130,9,AV REPUBLICA MEXICANA ,Cliente,ILAS / SABRITAS/ MONTERREY,25.7229,-100.2913,SAN NICOLAS DE LOS GARZA,-2,4,Si
33812,131,9,PONIENTE 116 ,Cliente,ILAS / SABRITAS/ VALLEJO,19.4859,-99.1624,CDMX,-2,4,Si
33813,132,9,BLVD BENITO JUAREZ,Cliente,ILAS / EXCELDAIRY/ TULTITLAN,19.6337,-99.1526,TULTITLAN MARIANO ESCOBEDO,-2,4,Si
33814,133,9,RIFCARDO MARGAIN,Cliente,ILAS / DAIRY TRADE MEXICO/ MONTERREY,25.6442,-100.3533,MONTERREY,-2,4,Si
33815,134,9,"QUERETARO-SAN LUIS POTOSI, PAR",Cliente,FERRERO/ PLANTA / SAN JOSE ITURBIDE,21.0559,-100.4705,SAN JOSE ITURBIDE,-2,4,Si
33816,135,9,PASEO TOLLOCAN,Cliente,ILAS / UNILEVER LERMA/ TOLUCA,19.2866,-99.5398,LERMA DE VILLADA ,-2,4,Si
33817,136,9,BLVD BELLAS ARTES,Cliente,ILAS / LICONSA/ TIJUANA,32.5426,-116.9435,TIJUANA,-2,4,Si
33818,137,9,AVENIDA F.F.C.C  NACIONALES,Cliente,ILAS / NESTLE/ AZCAPOTZALCO,19.5043,-99.1911,CDMX,-2,4,Si
33819,138,9,AVENIDA. MEXICO JAPON,Cliente,ILAS / LAMESA/ CELAYA,20.551,-100.8043,CELAYA,-2,4,Si
33820,139,9,ROBERTO DAVILA,Cliente,ILAS / LALA/ TORREON,25.5805,-103.3941,TORREON,-2,4,Si
33821,140,9,JUAN M ZANBADA,Cliente,ILAS / DICONSA/ CULIACAN,24.7879,-107.435,CULIACAN,-2,4,Si
33822,141,9,Heroico Colegio Militar,Cliente,"Farmatotal, S.A. DE C.V.",0,0,Culiacán Rosales,-2,4,No
33823,142,9,5a Pte. Nte,Cliente,Marin Mancilla Irma Luz,0,0,Tuxtla Gutiérrez,-2,4,No
33824,143,9,4,Cliente,"Moedanos's OTC, S.A. DE C.V.",0,0,Iztapalapa,-2,4,No
33825,144,9, Pino Suárez Sur,Cliente,"Comercializadora  Medix Violeta, S.A. DE C.V.",0,0,N.L.,-2,4,No
33826,145,9,DOCTOR JOSE MARIA VERTIZ,Cliente,AMSA/ QUO PHARMA/ CDMX,19.3806,-99.1529,CDMX,-2,4,Si
33827,147,9,Novena Poniente Sur,Cliente,AMSA/ COMERCIALIZADORA QUIR/ TUXTLA GUTIERREZ,16.753,-93.1242,Tuxtla Gutiérrez,-2,4,Si
33828,148,9,NAYARIT,Cliente,AMSA/ CANO REYES ALEJANDRA/ TAMAULIPAS,22.2623,-97.8428,CIUDAD MADERO,-2,4,Si
33829,149,9,Saturnino Campoy,Cliente,Medicamentos Del Noroeste,0,0,"Hermosillo,",-2,4,No
33830,150,9,Fray Pedro de Gante,Cliente,"Toppharma, Arboledas, S.A. DE C.V.",0,0,CDMX,-2,4,No
33831,151,9,Pablo Livas,Cliente,"Farma One, S.A. DE C.V.",0,0,"Tolteca, Guadalupe",-2,4,No
33832,152,9,Yucatán,Cliente,"Hisa Farmaceutica, S.A. DE C.V.",0,0,Monterrey,-2,4,No
33833,153,9,Río Salado,Cliente,Pelaez Perez Octavio,0,0,San Antonio de la Cal,-2,4,No
33834,154,9,Aldama,Cliente,Comercializadora Valle Alto,0,0,Reynosa,-2,4,No
33835,155,9,3 Oriente,Cliente,"Distribuidora Raga, S.A. DE C.V.",0,0,Amozoc,-2,4,No
33836,156,9,Lago Trasimeno ,Cliente,Farmacias El Fenix Del Centro,0,0,Miguel Hidalgo,-2,4,No
33837,157,9,HACIENDA LA MORA,Cliente,AMSA/ CASA MARZAM/ CULIACÁN,24.7611,-107.4534,CULIACAN DE ROSALES,-2,4,Si
33838,158,9,62 diagonal ,Cliente,"Distribuidora Dekafarma, Yucatan",0,0,Mérida,-2,4,No
33839,159,9,CENTRAL SUR ,Cliente,AMSA/ HIGAREDA NAVARRO MARISOL/ TUXTLA,16.7357,-93.1192,TUXTLA,-2,4,Si
33840,160,9,CUAUHTEMOC,Cliente,AMSA/ LOGISTICA EN DISTRIBUCION/ G.A.M,19.4944,-99.081,GUSTAVO A. MADERO,-2,4,Si
33841,161,9,BENITO JUAREZ ,Cliente,AMSA/ EUROHERSA/ PACHUCA HGO,20.1192,-98.7426,PACHUCA DE SOTO,-2,4,Si
33842,162,9,AGUSTIN DE BELTRAN,Cliente,AMSA/ GRUPO CRISPABELA MEDICA/ TABASCO,18.159,-92.7838,TAMULTE DE LAS SABANAS,-2,4,Si
33843,163,9,16 DE SEPTIEMBRE,Cliente,AMSA/ ROCHA CASIQUE ROBERTO/ TUXTLA GUTIERREZ,16.7453,-93.0985,TUXTLA GUTIERREZ,-2,4,Si
33844,164,9,"Primer, Retorno Universitario",Cliente,Martinez Rios Oscar,0,0,La Pradera,-2,4,No
33845,165,9,Volcán Jorullo,Cliente,Comercializadora Medica,0,0,"Zapopan,",-2,4,No
33846,166,9,BLVRD FEDERICO BENITEZ LOPEZ,Cliente,AMSA/ CASA MARZAM/ TIJUANA,32.5081,-116.9703,TIJUANA,-2,4,Si
33847,167,9,LEYES DE REFORMA,Cliente,AMSA/ VALDEZ BENGOA AREND/ HIDALGO,18.9152,-100.1473,TEJUPILCO DE HIDALGO ,-2,4,Si
33848,168,9,ADOLFO LOPEZ MATEOS,Cliente,AMSA/ CASA MARZAM/ MONTERREY,25.7249,-100.2599,SAN NICOLAS DE LOS GARZA,-2,4,Si
33849,169,9,Baños de Agua Caliente,Cliente,Nutriven De Las Californias.,0,0,Tijuana,-2,4,No
33850,170,9,Puente,Cliente,"Costco De México, S.A. DE C.V. ",0,0, CDMX,-2,4,No
33851,171,9,Norte 69 ,Cliente,"Total Farma, S.A. DE C.V.  CDMX",0,0,CDMX,-2,4,No
33852,172,9,Calz. de Tlalpan,Cliente,"Medical Pharmaceutica, S.A. DE C.V.",0,0,CDMX,-2,4,No
33853,173,9,JOSE MA.MORELOS PTE,Cliente,PROVEEDORA DE HOSPITALES DEL,19.2879,-99.6627,Toluca de Lerdo,-2,4,No
33854,174,9,Laguna de Las Ilusiones,Cliente,Distribuidora De Farmacos,0,0, Villahermosa,-2,4,No
33855,175,9,7 ORIENTE,Cliente,AMSA/ LUIN FARMACEUTICA/ PUEBLA,19.0441,-98.0891,AMOZOC,-2,4,Si
33856,176,9,Periférico Carlos Pellicer,Cliente,"Moedano's OTC, S.A. DE C.V.  Villahermosa",0,0,Villahermosa,-2,4,No
33857,177,9,Benito Juárez,Cliente,"A.P. Medical, S.A. DE C.V.",0,0,CDMX,-2,4,No
33858,178,9,JUAN ESCUTIA,Cliente,AMSA/ MEDSER PRODUCTOS FARMA./ CHIHUAHUA,28.6882,-106.0912,CHIHUAHUA,-2,4,Si
33859,179,9,Rayo,Cliente,Nasalud S. DE R.L. DE C.V. GDL,0,0,Guadalajara,-2,4,No
33860,180,9,Melchor Ocampo,Cliente,Farmacia De Ggenericos y Equiva,0,0,Vallarta,-2,4,No
33861,181,9,Maximino Montiel Flores,Cliente,Farmayoreo,0,0,San Lorenzo Tlacotepec,-2,4,No
33862,182,9,DOCTOR GARCIA DIEGO,Cliente,AMSA/ CORPORATIVO RACER/ CDMX,19.4165,-99.1503,CDMX,-2,4,Si
33863,183,9,Margarita Maza de Juárez,Cliente,"Casa Marzam, S.A. DE C.V.   Hermosillo",0,0,Hermosillo,-2,4,No
33864,184,9,Morelos número,Cliente,Medicina Integral y Farmacia,0,0,CDMX,-2,4,No
33865,185,9,BOULEVARD 18  DE JULIO ,Cliente,AMSA/ DISTRIBUIDORA FARMACEUTICA/ TLALTENANGO,21.7648,-103.2916,TLALTENANGO SANCHEZ ROMAN,-2,4,Si
33866,186,9,Trabajo y Previsión Social,Cliente,ROT POINT CENTER SA DE CV,19.418,-99.0911,CDMX,-2,4,No
33867,187,9,CALLE 39 ,Cliente,AMSA/ MEDSUR/ MERIDA,20.98,-89.6173,LA HUERTA MERIDA,-2,4,Si
